regime,family,sequence_seed,frame_index,has_target,drift_magnitude,drift_score,method,accepted,error,localized,false_alarms,confidence,risk_score
matched,gain_ramp,3500,0,True,0.0,0.0,local_contrast_frame,True,False,True,3,0.999999,1.0000000000287557e-06
matched,gain_ramp,3500,0,True,0.0,0.0,matched_filter_frame,True,False,True,0,0.945950984954834,0.054049015045166016
matched,gain_ramp,3500,0,True,0.0,0.0,learned_frame,True,True,False,0,0.500001,0.49999899999999997
matched,gain_ramp,3500,0,True,0.0,0.0,temporal_residual,True,True,False,0,0.919755108654499,0.08024489134550095
matched,gain_ramp,3500,0,True,0.0,0.0,fixed80_confidence,True,True,False,0,0.5000004754528891,0.49999952454711094
matched,gain_ramp,3500,0,True,0.0,0.0,crc_confidence,False,True,False,0,0.5000004754528891,0.49999952454711094
matched,gain_ramp,3500,0,True,0.0,0.0,crc_quality,False,True,False,0,0.5000004754528891,0.41909641506965795
matched,gain_ramp,3500,0,True,0.0,0.0,crc_temporal,False,True,False,0,0.5000004754528891,0.3345480886716067
matched,gain_ramp,3500,1,True,0.01954545454545454,0.3336706724969679,local_contrast_frame,True,False,True,2,0.999999,1.0000000000287557e-06
matched,gain_ramp,3500,1,True,0.01954545454545454,0.3336706724969679,matched_filter_frame,True,False,True,0,0.9420303702354431,0.057969629764556885
matched,gain_ramp,3500,1,True,0.01954545454545454,0.3336706724969679,learned_frame,True,False,True,0,0.8470055460929871,0.15299445390701294
matched,gain_ramp,3500,1,True,0.01954545454545454,0.3336706724969679,temporal_residual,True,False,True,0,0.999999,1.0000000000287557e-06
matched,gain_ramp,3500,1,True,0.01954545454545454,0.3336706724969679,fixed80_confidence,True,False,True,0,0.6928857251388959,0.3071142748611041
matched,gain_ramp,3500,1,True,0.01954545454545454,0.3336706724969679,crc_confidence,False,False,True,0,0.6928857251388959,0.3071142748611041
matched,gain_ramp,3500,1,True,0.01954545454545454,0.3336706724969679,crc_quality,False,False,True,0,0.6928857251388959,0.41801563114386314
matched,gain_ramp,3500,1,True,0.01954545454545454,0.3336706724969679,crc_temporal,False,False,True,0,0.6928857251388959,0.3692040524114496
matched,gain_ramp,3500,2,True,0.03909090909090908,0.07721469157405911,local_contrast_frame,True,False,True,2,0.999999,1.0000000000287557e-06
matched,gain_ramp,3500,2,True,0.03909090909090908,0.07721469157405911,matched_filter_frame,True,False,True,0,0.9583173394203186,0.041682660579681396
matched,gain_ramp,3500,2,True,0.03909090909090908,0.07721469157405911,learned_frame,True,False,True,0,0.8674423694610596,0.13255763053894043
matched,gain_ramp,3500,2,True,0.03909090909090908,0.07721469157405911,temporal_residual,True,False,True,0,0.999999,1.0000000000287557e-06
matched,gain_ramp,3500,2,True,0.03909090909090908,0.07721469157405911,fixed80_confidence,True,False,True,0,0.7095404671155691,0.29045953288443094
matched,gain_ramp,3500,2,True,0.03909090909090908,0.07721469157405911,crc_confidence,False,False,True,0,0.7095404671155691,0.29045953288443094
matched,gain_ramp,3500,2,True,0.03909090909090908,0.07721469157405911,crc_quality,False,False,True,0,0.7095404671155691,0.42066836843266303
matched,gain_ramp,3500,2,True,0.03909090909090908,0.07721469157405911,crc_temporal,True,False,True,0,0.7095404671155691,0.302252740330954
matched,gain_ramp,3500,3,True,0.05863636363636362,0.08338060708323004,local_contrast_frame,True,False,True,2,0.999999,1.0000000000287557e-06
matched,gain_ramp,3500,3,True,0.05863636363636362,0.08338060708323004,matched_filter_frame,True,False,True,0,0.9447842240333557,0.05521577596664429
matched,gain_ramp,3500,3,True,0.05863636363636362,0.08338060708323004,learned_frame,True,False,True,0,0.8470055460929871,0.15299445390701294
matched,gain_ramp,3500,3,True,0.05863636363636362,0.08338060708323004,temporal_residual,True,False,True,0,0.999999,1.0000000000287557e-06
matched,gain_ramp,3500,3,True,0.05863636363636362,0.08338060708323004,fixed80_confidence,True,False,True,0,0.6928857251388959,0.3071142748611041
matched,gain_ramp,3500,3,True,0.05863636363636362,0.08338060708323004,crc_confidence,False,False,True,0,0.6928857251388959,0.3071142748611041
matched,gain_ramp,3500,3,True,0.05863636363636362,0.08338060708323004,crc_quality,False,False,True,0,0.6928857251388959,0.4229243938901419
matched,gain_ramp,3500,3,True,0.05863636363636362,0.08338060708323004,crc_temporal,True,False,True,0,0.6928857251388959,0.3090859174311545
matched,gain_ramp,3500,4,True,0.07818181818181816,0.3928774925278582,local_contrast_frame,True,False,True,2,0.999999,1.0000000000287557e-06
matched,gain_ramp,3500,4,True,0.07818181818181816,0.3928774925278582,matched_filter_frame,True,False,True,0,0.9297698140144348,0.07023018598556519
matched,gain_ramp,3500,4,True,0.07818181818181816,0.3928774925278582,learned_frame,True,True,False,0,0.500001,0.49999899999999997
matched,gain_ramp,3500,4,True,0.07818181818181816,0.3928774925278582,temporal_residual,True,False,True,0,0.999999,1.0000000000287557e-06
matched,gain_ramp,3500,4,True,0.07818181818181816,0.3928774925278582,fixed80_confidence,True,True,False,0,0.5000004754528891,0.49999952454711094
matched,gain_ramp,3500,4,True,0.07818181818181816,0.3928774925278582,crc_confidence,False,True,False,0,0.5000004754528891,0.49999952454711094
matched,gain_ramp,3500,4,True,0.07818181818181816,0.3928774925278582,crc_quality,False,True,False,0,0.5000004754528891,0.4294173791084995
matched,gain_ramp,3500,4,True,0.07818181818181816,0.3928774925278582,crc_temporal,False,True,False,0,0.5000004754528891,0.437927943822992
matched,gain_ramp,3500,5,True,0.0977272727272727,0.12403704937302742,local_contrast_frame,True,False,True,2,0.999999,1.0000000000287557e-06
matched,gain_ramp,3500,5,True,0.0977272727272727,0.12403704937302742,matched_filter_frame,True,False,True,0,0.9463862776756287,0.05361372232437134
matched,gain_ramp,3500,5,True,0.0977272727272727,0.12403704937302742,learned_frame,True,True,False,0,0.500001,0.49999899999999997
matched,gain_ramp,3500,5,True,0.0977272727272727,0.12403704937302742,temporal_residual,True,False,True,0,0.999999,1.0000000000287557e-06
matched,gain_ramp,3500,5,True,0.0977272727272727,0.12403704937302742,fixed80_confidence,True,True,False,0,0.5000004754528891,0.49999952454711094
